protocol,prefix,ISP
ipv6,240a:6b::/32,docomo
ipv6,240a:61::/37,docomo
ipv6,240a:61:800::/38,docomo
ipv6,240a:61:c00::/40,docomo
ipv6,2001:268:9000::/36,au
ipv6,2001:268:9800::/40,au
ipv6,2001:268:9900::/40,au
ipv6,2001:268:9a00::/40,au
ipv6,2001:268:9b00::/40,au
ipv6,2400:2200::/36,softbank
ipv6,240b:c000::/24,rakuten
ipv6,2403:d000::/32,rakuten
ipv6,2400:5100::/32,rakuten
