protocol,prefix,ISP
ipv4,126.156.224.0/19,softbank
ipv4,126.157.64.0/20,softbank
ipv4,126.157.80.0/20,softbank
ipv4,126.157.96.0/20,softbank
ipv4,126.157.112.0/20,softbank
ipv4,126.157.128.0/20,softbank
ipv4,126.157.144.0/20,softbank
ipv4,126.157.160.0/20,softbank
ipv4,126.157.176.0/20,softbank
ipv4,126.157.192.0/20,softbank
ipv4,126.157.208.0/20,softbank
ipv4,126.157.224.0/20,softbank
ipv4,126.157.240.0/20,softbank
ipv4,126.158.0.0/19,softbank
ipv4,126.158.32.0/19,softbank
ipv4,126.158.64.0/19,softbank
ipv4,126.158.96.0/19,softbank
ipv4,126.158.128.0/19,softbank
ipv4,126.158.160.0/19,softbank
ipv4,126.158.192.0/19,softbank
ipv4,126.158.224.0/19,softbank
ipv4,126.161.0.0/20,softbank
ipv4,126.161.16.0/23,softbank
ipv4,126.161.18.0/23,softbank
ipv4,126.161.20.0/23,softbank
ipv4,126.161.22.0/23,softbank
ipv4,126.161.24.0/23,softbank
ipv4,126.161.26.0/23,softbank
ipv4,126.161.28.0/23,softbank
ipv4,126.161.30.0/23,softbank
ipv4,126.161.32.0/20,softbank
ipv4,126.161.48.0/23,softbank
ipv4,126.161.50.0/23,softbank
ipv4,126.161.52.0/23,softbank
ipv4,126.161.54.0/23,softbank
ipv4,126.161.56.0/23,softbank
ipv4,126.161.58.0/23,softbank
ipv4,126.161.60.0/23,softbank
ipv4,126.161.62.0/23,softbank
ipv4,126.161.64.0/21,softbank
ipv4,126.161.80.0/21,softbank
ipv4,126.161.96.0/19,softbank
ipv4,126.161.104.0/22,softbank
ipv4,126.166.128.0/19,softbank
ipv4,126.166.160.0/19,softbank
ipv4,126.166.192.0/19,softbank
ipv4,126.166.224.0/19,softbank
ipv4,126.167.216.0/21,softbank
ipv4,126.167.64.0/20,softbank
ipv4,126.167.80.0/20,softbank
ipv4,126.167.96.0/20,softbank
ipv4,126.167.112.0/20,softbank
ipv4,126.179.0.0/18,softbank
ipv4,126.179.96.0/19,softbank
ipv4,126.179.128.0/18,softbank
ipv4,126.179.224.0/19,softbank
